07:47:50,521 | DEBUG  | com.dhenton9000.excel.ExcelParser |   98 | sheet handler constructor
07:47:50,975 | DEBUG  | com.dhenton9000.excel.ExcelParser |  182 | end for header index: {gamma=67, alpha=65, beta=66}
07:47:50,976 | DEBUG  | com.dhenton9000.excel.ExcelParser |  186 | end for row index: {gamma=3, alpha=A, beta=2}
07:47:50,977 | DEBUG  | com.dhenton9000.excel.ExcelParser |  186 | end for row index: {gamma=30, alpha=10, beta=B}
07:47:50,977 | DEBUG  | com.dhenton9000.excel.ExcelParser |  186 | end for row index: {gamma=C, alpha=100, beta=200}
07:47:50,978 | INFO   | com.dhenton9000.excel.ExcelParser |  127 | ending document [{gamma=3, alpha=A, beta=2}, {gamma=30, alpha=10, beta=B}, {gamma=C, alpha=100, beta=200}]
07:47:51,573 | DEBUG  | com.dhenton9000.phantomjs.PhantomJSTest |   43 | using properties file
07:47:51,608 | DEBUG  | com.dhenton9000.phantomjs.PhantomJSTest |   46 | reading config in com.dhenton9000.phantomjs.PhantomJSTest
07:47:51,609 | DEBUG  | com.dhenton9000.phantomjs.PhantomJSTest |  108 | Test will use PhantomJS internal GhostDriver
07:48:01,312 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   98 | Filename = 'download.zip'
07:48:01,312 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   99 | Expected Hash = 'x'
07:48:01,313 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |  100 | Actual Hash = 'def3a66650822363f9e0ae6b9fbdbd6f'
07:48:01,314 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   98 | Filename = 'download.zip'
07:48:01,315 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   99 | Expected Hash = 'def3a66650822363f9e0ae6b9fbdbd6f'
07:48:01,315 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |  100 | Actual Hash = 'def3a66650822363f9e0ae6b9fbdbd6f'
07:48:01,339 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,340 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,378 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,380 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,396 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,397 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/downloadTest.html
07:48:01,426 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,429 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,430 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,440 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,441 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/doesNotExist.html
07:48:01,448 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:48:01,449 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,450 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,460 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,460 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/downloadTest.html
07:48:01,466 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,467 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,468 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,477 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,478 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/doesNotExist.html
07:48:01,485 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:48:01,486 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,487 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,497 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,497 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/downloadTest.html
07:48:01,503 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,505 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,507 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,521 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,522 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/doesNotExist.html
07:48:01,531 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:48:01,531 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,533 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,542 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,543 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending HEAD request for: http://localhost:9081/downloadTest.html
07:48:01,570 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,571 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,572 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,580 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,580 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending HEAD request for: http://localhost:9081/doesNotExist.html
07:48:01,587 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:48:01,588 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,589 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,599 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,599 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending OPTIONS request for: http://localhost:9081/downloadTest.html
07:48:01,606 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,607 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,608 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,640 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,640 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending POST request for: http://localhost:9081/downloadTest.html
07:48:01,645 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,646 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,647 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,654 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,654 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending PUT request for: http://localhost:9081/downloadTest.html
07:48:01,660 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 405
07:48:01,661 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,662 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,667 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,668 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending TRACE request for: http://localhost:9081/downloadTest.html
07:48:01,673 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 403
07:48:01,674 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,675 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,683 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,683 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending DELETE request for: http://localhost:9081/downloadTest.html
07:48:01,688 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 405
07:48:01,689 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,690 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,705 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
